"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address","MAC Address",Location,"Switch Port and VLAN","Port Type","Service Speed","Service Type","Peering LAN","Membership Type","Route Servers"
"Brightsolid Online Technology Ltd.",http://www.brightsolid.com,5564,"No data",195.66.237.60,2001:7f8:4:1::15bc:1,f872.ea6a.2e30,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch-lon2 xe4",1G,1G,Regular,lon2,full,"rs1.lon1, rs1.sco1, rs2.lon2, rs2.sco1, rs3.lon1, rs4.lon2"
"Brightsolid Online Technology Ltd.",http://www.brightsolid.com,5564,"No data",195.66.225.60,2001:7f8:4::15bc:1,f8c2.8803.9330,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/1/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs1.sco1, rs2.lon2, rs2.sco1, rs3.lon1, rs4.lon2"
"Brightstar Ltd",http://www.brightstar.uk,42228,"No data",195.66.227.10,2001:7f8:4::a4f4:1,ecf4.bbcd.b5f8,"Telehouse North (THN)","edge1-thn xe-4/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Brightstar Ltd",http://www.brightstar.uk,42228,"No data",195.66.239.10,2001:7f8:4:1::a4f4:1,246e.9605.3470,"Telehouse East (THE)","edge2-the-lon2 xe8",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"British Telecommunications plc",http://www.bt.net/,2856,"No data",195.66.236.11,2001:7f8:4:1::b28:1,28a2.4b06.6a20,"Telehouse North2 (TH2)","edge2-th2-lon2 ce2/1",100G,100G,Regular,lon2,full,
"British Telecommunications plc",http://www.bt.net/,2856,"No data",195.66.227.42,2001:7f8:4::b28:6,08b2.587a.5762,"Equinix LD6 (EQ4)","edge3-eq4 et-2/0/2",100G,100G,Regular,lon1,full,
"British Telecommunications plc",http://www.bt.net/,2856,"No data",195.66.236.10,2001:7f8:4:1::b28:2,08b2.5806.e1ff,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce17/1",100G,100G,Regular,lon2,full,
"British Telecommunications plc",http://www.bt.net/,2856,"No data",195.66.224.10,2001:7f8:4::b28:1,2aa2.4b2c.5c93,"Telehouse North (THN)","core3-thn et-2/4/3",100G,100G,Regular,lon1,full,
"British Telecommunications plc",http://www.bt.net/,2856,"No data",195.66.227.42,2001:7f8:4::b28:6,08b2.587a.5762,"Equinix LD6 (EQ4)","edge3-eq4 et-3/0/2",100G,100G,Regular,lon1,full,
"British Telecommunications plc",http://www.bt.net/,2856,"No data",195.66.224.10,2001:7f8:4::b28:1,2aa2.4b2c.5c93,"Telehouse North (THN)","core3-thn et-2/3/3",100G,100G,Regular,lon1,full,
"British Telecommunications plc",http://www.bt.net/,2856,"No data",195.66.224.11,2001:7f8:4::b28:5,541e.5688.c4cc,"Interxion LON2 (IN2)","core3-in2 et-2/1/1",100G,100G,Regular,lon1,full,
"British Telecommunications plc",http://www.bt.net/,2856,"No data",195.66.224.69,2001:7f8:4::b28:2,44aa.50a9.48c4,"Digital Realty Sovereign House (RBS)","edge2-rbs et-1/1/2",100G,100G,Regular,lon1,full,
"British Telecommunications plc (2)",http://www.btglobalservices.com/,5400,"No data",195.66.224.108,2001:7f8:4::1518:1,0881.f4ef.67c3,"Interxion LON2 (IN2)","core3-in2 et-2/1/0",100G,100G,Regular,lon1,full,
"British Telecommunications plc (2)",http://www.btglobalservices.com/,5400,"No data",195.66.236.108,2001:7f8:4:1::1518:1,b0a8.6efb.07c4,"Telehouse North (THN)","edge5-thn-lon2 ce1/1",100G,100G,Regular,lon2,full,
"Broadband for the Rural North (B4RN)",http://www.b4rn.org.uk,58273,"No data",195.66.244.60,2001:7f8:4:2::e3a1:1,4071.83a3.399c,"Equinix MA1 Williams House (TCW)","edge8-tcw-man1 ce15/1",100G,100G,Regular,man1,full,"rs1.lon1, rs1.man1, rs1.sco1, rs2.man1, rs2.sco1, rs3.lon1"
"Broadband for the Rural North (B4RN)",http://www.b4rn.org.uk,58273,"No data",195.66.226.126,2001:7f8:4::e3a1:1,4c16.fcca.5fb0,"Telehouse North (THN)","core3-thn et-2/1/1",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.sco1, rs2.man1, rs2.sco1, rs3.lon1"
"Broadband for the Rural North (B4RN)",http://www.b4rn.org.uk,58273,"No data",195.66.246.26,2001:7f8:4:3::e3a1:1,a8d0.e5f2.4485,"Pulsant Edinburgh (PUE)","edge2-pue.sco1 3",10G,10G,Regular,sco1,full,"rs1.lon1, rs1.man1, rs1.sco1, rs2.man1, rs2.sco1, rs3.lon1"
"Broadband Gibraltar Ltd",http://www.sapphire.gi,34803,"No data",195.66.225.120,2001:7f8:4::87f3:1,3c61.044d.a456,"Telehouse North (THN)","edge4-thn ge-7/1/3",1G,1G,Regular,lon1,full,
"Broadband Gibraltar Ltd",http://www.sapphire.gi,34803,"No data",195.66.237.120,2001:7f8:4:1::87f3:1,3c61.044d.9c54,"Telehouse North (THN)","edge2-thn-lon2 xe18 VLAN: 604",ConneXions,1G,ConneXions,lon2,full,
"Broadcast Media Communications Ltd",http://www.bmcuk.tv,200700,"No data",195.66.238.183,2001:7f8:4:1:0:3:ffc:1,24a4.3c06.15f6,"Telehouse North (THN)","edge4-thn-lon2 xe15",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Broadcast Media Communications Ltd",http://www.bmcuk.tv,200700,"No data",195.66.226.183,2001:7f8:4::3:ffc:1,64d1.54e9.994c,"Telehouse North (THN)","edge3-thn ge-7/0/5",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Broadnet AS",http://www.broadnet.no,2116,"No data",195.66.225.220,2001:7f8:4::844:1,e4a8.b6cc.f39a,"Equinix LD6 (EQ4)","edge5-eq4 ge-4/2/0",1G,1G,Regular,lon1,full,
"Brsk Limited",http://,51809,"No data",195.66.225.232,2001:7f8:4::ca61:1,8890.0984.1411,"Telehouse North (THN)","edge1-thn xe-5/1/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"BSO Network Solutions",http://www.bsocom.com,31216,"No data",195.66.224.225,2001:7f8:4::79f0:1,9e8a.cb59.e92b,"Telehouse East (THE)","edge4-the xe-3/0/2",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Burstfire Networks Ltd.",http://www.burstfire.net.uk/,9153,"No data",195.66.224.71,2001:7f8:4::23c1:1,001e.be8a.a1c0,"Digital Realty Sovereign House (RBS)","edge1-rbs ge-7/1/1",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Burstfire Networks Ltd.",http://www.burstfire.net.uk/,9153,"No data",195.66.236.71,2001:7f8:4:1::23c1:1,001e.f7f7.4500,"Telehouse North (THN)","edge3-thn-lon2 xe35",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"C.C.S (Leeds) Ltd",http://www.ccsleeds.co.uk,34555,"No data",195.66.226.26,,001c.b0b5.c600,"Telehouse North (THN)","edge3-thn xe-2/1/3",10G,10G,Regular,lon1,full,
Cablenet,http://www.cablenet.com.cy/,35432,"No data",195.66.225.136,2001:7f8:4::8a68:1,40ce.241f.44ef,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/0/6",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
Cablenet,http://www.cablenet.com.cy/,35432,"No data",195.66.225.136,2001:7f8:4::8a68:1,40ce.241f.44ef,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/2/5",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"CacheNetworks, LLC",http://www.cachefly.com/,30081,"No data",195.66.225.29,2001:7f8:4::7581:1,20d8.0b52.9823,"Telehouse North (THN)","core3-thn et-3/3/0",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Cadence Networks Ltd",https://cadence.net.uk,47638,"No data",195.66.225.169,2001:7f8:4::ba16:1,ec38.73e5.e86f,"Telehouse North (THN)","edge3-thn xe-2/1/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Cadence Networks Ltd",https://cadence.net.uk,47638,"No data",195.66.237.169,2001:7f8:4:1::ba16:1,ec38.73e5.e870,"Telehouse North (THN)","edge1-thn-lon2 xe6",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Call Flow Solutions",http://www.callflowsolutions.com/,48101,"No data",195.66.238.252,2001:7f8:4:1::bbe5:1,1039.e9b2.9770,"Telehouse North (THN)","edge5-thn-lon2 ce4/1",100G,100G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Call Flow Solutions",http://www.callflowsolutions.com/,48101,"No data",195.66.239.254,2001:7f8:4:1::bbe5:2,1039.e9b2.1770,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce20/1",100G,100G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Call Flow Solutions",http://www.callflowsolutions.com/,48101,"No data",195.66.224.97,2001:7f8:4::bbe5:2,1039.e9b2.1771,"Equinix LD6 (EQ4)","edge4-eq4 et-7/1/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Call Flow Solutions",http://www.callflowsolutions.com/,48101,"No data",195.66.226.252,2001:7f8:4::bbe5:1,1039.e9b2.9771,"Telehouse North (THN)","core4-thn et-2/0/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Canadian Internet Registration Authority",http://www.cira.ca/,55195,"No data",195.66.226.79,2001:7f8:4::d79b:1,5087.8938.999a,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/1/8",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Cancom Managed Services Ltd",http://www.novosco.com,60793,"No data",195.66.236.117,2001:7f8:4:1::ed79:1,40de.ad07.c88b,"Telehouse North2 (TH2)","edge1-th2-lon2 xe12",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Cancom Managed Services Ltd",http://www.novosco.com,60793,"No data",195.66.224.117,2001:7f8:4::ed79:1,40de.ad07.c88a,"Telehouse North2 (TH2)","edge1-th2 xe-2/1/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Cape Connect Internet",http://cape-connect.com,37640,"No data",195.66.227.171,2001:7f8:4::9308:1,488f.5ad8.c5e6,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/2/2 VLAN: 104",ConneXions,.5G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"CAT Telecom",http://www.cattelecom.com/site/en/main.php,4651,"No data",195.66.226.99,2001:7f8:4::122b:1,4c00.820b.fb45,"Telehouse North (THN)","edge1-thn xe-3/2/2",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Cato Networks (UK) Ltd",http://www.catonetworks.com,13150,"No data",195.66.227.252,2001:7f8:4::335e:1,ca70.0102.ca70,"Interxion LON2 (IN2)","edge1-in2 xe-8/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
CCANet,https://www.comodo.com/,35838,"No data",195.66.244.38,2001:7f8:4:2::8bfe:1,000b.0c0d.0e0f,"Equinix MA1 Williams House (TCW)","edge5-tcw-man1 xe3 VLAN: 601",ConneXions,100M,ConneXions,man1,full,"rs1.man1, rs2.man1"
"CCP Games",http://www.ccpgames.com/,35834,"No data",195.66.238.23,2001:7f8:4:1::8bfa:1,046c.9d59.f703,"Telehouse North (THN)","edge4-thn-lon2 xe34",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"CCP Games",http://www.ccpgames.com/,35834,"No data",195.66.226.23,2001:7f8:4::8bfa:1,78ba.f97d.8313,"Telehouse North (THN)","edge4-thn ge-8/1/6",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"CDW Limited",http://www.uk.cdw.com,201126,"No data",195.66.227.9,,34ed.1b2d.9aef,"Digital Realty Sovereign House (RBS)","edge1-rbs xe-8/1/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"CDW Limited",http://www.uk.cdw.com,201126,"No data",195.66.239.9,2001:7f8:4:1:0:3:11a6:1,34ed.1b2d.9af0,"Digital Realty Sovereign House (RBS)","edge3-rbs-lon2 xe30",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
Celeste,https://celeste.fr/,34177,"No data",195.66.226.94,2001:7f8:4::8581:1,f86b.d984.6214,"Telehouse North (THN)","core4-thn et-2/2/1 VLAN: 2795",ConneXions,20G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"Cellcom Communications",http://www.Cellcom.co.il,1680,"No data",195.66.225.87,2001:7f8:4::690:1,4055.3946.7ee1,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/2/3",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Central Technology Ltd",https://www.ct.co.uk,57653,"No data",195.66.227.61,2001:7f8:4::e135:1,8890.0960.8057,"Telehouse North (THN)","edge2-thn xe-2/3/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs1.mps, rs2.lon2, rs2.mps, rs3.lon1, rs4.lon2"
"Central Technology Ltd",https://www.ct.co.uk,57653,"No data",195.66.239.61,2001:7f8:4:1::e135:1,8890.0964.d07f,"Telehouse North (THN)","edge1-thn-lon2 xe42",10G,10G,Regular,lon2,full,"rs1.lon1, rs1.mps, rs2.lon2, rs2.mps, rs3.lon1, rs4.lon2"
"CentralNic Ltd.",https://www.centralnic.com/,42044,"No data",195.66.227.24,2001:7f8:4::a43c:1,3c8a.b088.fa47,"Telehouse North (THN)","edge4-thn ge-7/1/1",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"CentralNic Ltd.",https://www.centralnic.com/,199330,"No data",195.66.244.90,2001:7f8:4:2:0:3:aa2:1,0cc4.7a45.7041,"M247 Ball Green (M2I)","edge2-m2i-man1 xe20",1G,1G,Regular,man1,full,"rs1.man1, rs2.man1"
Centrilogic,http://www.centrilogic.com,44332,"No data",195.66.227.136,2001:7f8:4::ad2c:1,cce1.7ff2.4aa5,"Telehouse North (THN)","edge1-thn ge-8/0/5",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
Centrilogic,http://www.centrilogic.com,44332,"No data",195.66.239.136,2001:7f8:4:1::ad2c:1,cce1.7ff2.4aa6,"Telehouse North (THN)","edge4-thn-lon2 xe40",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Cerberus Networks Ltd",http://www.cerberusnetworks.co.uk,51918,"No data",195.66.226.163,2001:7f8:4::cace:2,885a.92e6.4430,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-5/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Cerberus Networks Ltd",http://www.cerberusnetworks.co.uk,51918,"No data",195.66.237.163,2001:7f8:4:1::cace:1,0078.8821.2802,"Telehouse North (THN)","edge3-thn-lon2 xe41",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Cerberus Networks Ltd",http://www.cerberusnetworks.co.uk,51918,"No data",195.66.225.163,2001:7f8:4::cace:1,885a.92b4.3810,"Telehouse North (THN)","edge4-thn xe-4/3/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"CETIN a.s.",http://,28725,"No data",195.66.225.12,2001:7f8:4::7035:1,10f3.1156.437a,"Telehouse North (THN)","edge3-thn xe-2/2/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Charter Communications",https://www.spectrum.com,7843,"No data",206.55.196.57,2001:504:31::1ea3:1,2e21.3100.476a,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 xe-9/3/1",10G,10G,Regular,nva1,full,rs1.nva1
"Charter Communications",https://www.spectrum.com,20115,"No data",206.55.196.56,2001:504:31::4e93:1,70e4.223e.c6f6,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 xe-9/1/0",10G,10G,Regular,nva1,full,"rs1.nva1, rs2.nva1"
"Charter Communications",https://www.spectrum.com,7843,"No data",206.55.196.57,2001:504:31::1ea3:1,2e21.3100.476a,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 xe-9/2/0",10G,10G,Regular,nva1,full,rs1.nva1
"Charterhouse Voice & Data Plc",http://www.cvd.plc.uk/,44503,"No data",195.66.226.156,,cc16.7e85.ba10,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-3/0/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Charterhouse Voice & Data Plc",http://www.cvd.plc.uk/,44503,"No data",195.66.238.156,2001:7f8:4:1::add7:1,843d.c6ac.0904,"Telehouse North (THN)","edge3-thn-lon2 xe28",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Chess ICT Limited",https://chessict.co.uk/,5500,"No data",195.66.246.14,2001:7f8:4:3::157c:1,e4c7.22a3.ac82,"Pulsant Edinburgh (PUE)","edge1-pue.sco1 37",1G,1G,Regular,sco1,full,"rs1.lon1, rs1.sco1, rs2.sco1, rs3.lon1"
"Chess ICT Limited",https://chessict.co.uk/,5500,"No data",195.66.227.8,2001:7f8:4::157c:1,1880.90b8.0706,"Telehouse North (THN)","edge4-thn ge-7/0/0",1G,1G,Regular,lon1,full,"rs1.lon1, rs1.sco1, rs2.sco1, rs3.lon1"
"Chevron Products UK Limited",http://www.chevron.com,7862,"No data",195.66.227.109,2001:7f8:4::1eb6:1,84b5.9cf6.a2da,"Equinix LD9 Powergate (TCA)","edge1-tca xe-2/1/1",10G,10G,Regular,lon1,full,
"China Mobile",http://www.cmi.chinamobile.com/en/,58453,"No data",195.66.226.5,2001:7f8:4::e455:1,70ca.9b85.a2c3,"Telehouse West (THW)","edge1-thw xe-7/3/2",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"China Mobile",http://www.cmi.chinamobile.com/en/,58453,"No data",195.66.226.49,2001:7f8:4::e455:2,446a.2ee0.8886,"Equinix LD6 (EQ4)","edge5-eq4 xe-2/1/4",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"China Mobile",http://www.cmi.chinamobile.com/en/,58453,"No data",195.66.226.49,2001:7f8:4::e455:2,446a.2ee0.8886,"Equinix LD6 (EQ4)","edge5-eq4 xe-2/1/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"China Mobile",http://www.cmi.chinamobile.com/en/,58807,"No data",195.66.227.55,2001:7f8:4::e5b7:1,fc96.43d1.b006,"Equinix LD6 (EQ4)","edge5-eq4 xe-2/2/5",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"China Mobile",http://www.cmi.chinamobile.com/en/,58453,"No data",195.66.238.5,2001:7f8:4:1::e455:1,70ca.9b85.a369,"Telehouse West (THW)","edge2-thw-lon2 xe27",10G,10G,Regular,lon2,full,"rs1.lon1, rs3.lon1"
"China Telecom (Europe) Ltd.",http://www.chinatelecomeurope.com/,4134,"No data",195.66.225.54,2001:7f8:4::1026:1,d4c9.3c1a.b33d,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/1/1",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"China Telecom Global Ltd",http://www.chinatelecomglobal.com,23764,"No data",195.66.224.40,2001:7f8:4::5cd4:1,7c25.86b3.171c,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-3/3/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"China Unicom Global Limited",https://www.chinaunicomglobal.com,4837,"No data",195.66.227.72,,501d.93d8.bd84,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/1/2",10G,10G,Regular,lon1,full,
"Chunghwa Hinet",http://www.hinet.net,3462,"No data",195.66.226.109,2001:7f8:4::d86:1,985d.82b7.45ad,"Telehouse North (THN)","edge3-thn xe-4/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"ChungHwa Telecom Co.",http://wwwe.twgate.net/front/bin/home.phtml,9505,"No data",195.66.225.37,2001:7f8:4::2521:1,6464.9bde.6d4b,"Telehouse North (THN)","edge2-thn xe-2/1/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
ChunkyChips.net,http://www.chunkychips.net,29446,"No data",195.66.237.112,2001:7f8:4:1::7306:1,7c69.f657.0382,"Telehouse North (THN)","edge2-thn-lon2 xe22",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
ChunkyChips.net,http://www.chunkychips.net,29446,"No data",195.66.225.112,2001:7f8:4::7306:1,e8b7.481c.0d03,"Telehouse North (THN)","edge4-thn ge-7/2/2",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Chupicom Fureai Inc.",http://www.chupicom.jp/,18283,Open,195.66.224.53,2001:7f8:4::476b:1,2c5a.0f8c.fa8a,"Telehouse East (THE)","edge4-the ae214 VLAN: 271",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"Cinos Limited",http://,207310,Open,195.66.244.240,2001:7f8:4::3:29ce:1,ac7a.56eb.2090,"Equinix MA3 Joule House (TCJ)","edge2-tcj-man1 xe9",10G,10G,Regular,man1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Cinos Limited",http://,207310,Open,195.66.227.181,2001:7f8:4::3:29ce:2,ac7a.56a7.4510,"Telehouse North2 (TH2)","edge1-th2 xe-1/1/3",10G,10G,multiservice_port,lon1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Circlenet LLP",http://,49490,Open,195.66.236.113,2001:7f8:4:1::c152:1,dc2c.6e22.aa22,"Telehouse North (THN)","edge1-thn-lon2 xe40",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Circlenet LLP",http://,49490,Open,195.66.224.145,2001:7f8:4::c152:1,dc2c.6e22.aa21,"Telehouse North (THN)","edge4-thn xe-9/3/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Cisco Cloud Web Security",http://www.cisco.com,35180,Selective,195.66.226.106,2001:7f8:4::896c:1,78bc.1a20.0bc4,"Equinix LD6 (EQ4)","edge5-eq4 ge-4/3/6",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Cisco Cloud Web Security",http://www.cisco.com,35180,Selective,195.66.226.221,,a46c.2a77.8610,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/0/1",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Cisco Cloud Web Security",http://www.cisco.com,35180,Selective,195.66.238.221,2001:7f8:4:1::896c:1,a46c.2a77.4b10,"Telehouse West (THW)","edge3-thw-lon2 xe9",1G,1G,Regular,lon2,full,"rs1.lon1, rs3.lon1"
"Cisco IT",https://www.cisco.com/,109,Selective,195.66.227.143,2001:7f8:4::6d:1,94ae.f09d.080e,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/2/4",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Cisco Systems Ltd",http://,36692,Open,195.66.237.70,2001:7f8:4:1::8f54:1,78fe.3db4.46cc,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce31/1",100G,100G,Regular,lon2,full,
"Cisco Systems Ltd",http://,36692,Open,195.66.225.70,2001:7f8:4::8f54:1,78fe.3db4.458e,"Equinix LD6 (EQ4)","edge4-eq4 et-5/1/5",100G,100G,Regular,lon1,full,
"Cisco WebEx",http://www.webex.com,13445,Selective,195.66.237.110,2001:7f8:4:1::3485:1,4c4e.35da.78f7,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch-lon2 ce13/1",100G,100G,Regular,lon2,full,
"Cisco WebEx",http://www.webex.com,13445,Selective,195.66.225.110,2001:7f8:4::3485:1,b026.8032.2240,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/4/2",100G,100G,Regular,lon1,full,
"Cisco WebEx",http://www.webex.com,13445,Selective,195.66.225.110,2001:7f8:4::3485:1,b026.8032.2240,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/5/2",100G,100G,Regular,lon1,full,
"CITIC Telecom International CPC Ltd",http://,3327,Selective,195.66.238.28,2001:7f8:4:1::cff:1,ec38.73e7.602d,"Telehouse North (THN)","edge1-thn-lon2 xe11",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"CITIC Telecom International CPC Ltd",http://,3327,Selective,195.66.226.28,2001:7f8:4::cff:1,ec38.73e6.7035,"Telehouse North (THN)","edge4-thn xe-5/0/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"CityLink Telecommunications",http://www.citylinkfiber.com,7850,Open,195.66.227.241,2001:7f8:4::1eaa:1,88e0.f355.d000,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/2/1",1G,1G,Regular,lon1,full,
"CityLink Telecommunications",http://www.citylinkfiber.com,7850,Open,195.66.238.57,2001:7f8:4:1::1eaa:1,88e0.f355.d052,"Equinix LD8 Harbour Exchange (TCH)","edge3-tch-lon2 xe5",1G,1G,Regular,lon2,full,
"Civica UK Limited",http://www.civica.com,15654,Selective,195.66.224.227,2001:7f8:4::3d26:1,a8b4.5668.9c02,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/3/8",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Claranet Ltd.",http://www.clara.net/,8426,Selective,195.66.224.66,2001:7f8:4::20ea:1,10f3.117e.7891,"Telehouse East (THE)","edge4-the xe-9/0/1",10G,10G,Regular,lon1,full,
"Claranet Ltd.",http://www.clara.net/,8426,Selective,195.66.227.154,2001:7f8:4::20ea:2,10f3.1178.56d9,"Equinix LD6 (EQ4)","edge5-eq4 xe-8/3/4",10G,10G,Regular,lon1,full,
"Claranet Ltd.",http://www.clara.net/,8426,Selective,195.66.224.66,2001:7f8:4::20ea:1,10f3.117e.7891,"Telehouse East (THE)","edge4-the xe-8/1/3",10G,10G,Regular,lon1,full,
"Claranet Ltd.",http://www.clara.net/,8426,Selective,195.66.227.154,2001:7f8:4::20ea:2,10f3.1178.56d9,"Equinix LD6 (EQ4)","edge5-eq4 xe-5/3/2",10G,10G,Regular,lon1,full,
"Claranet Ltd.",http://www.clara.net/,8426,Selective,195.66.224.66,2001:7f8:4::20ea:1,10f3.117e.7891,"Telehouse East (THE)","edge4-the xe-8/1/2",10G,10G,Regular,lon1,full,
"Claranet Ltd.",http://www.clara.net/,8426,Selective,195.66.236.66,2001:7f8:4:1::20ea:1,001d.a1a3.407b,"Telehouse North (THN)","edge2-thn-lon2 xe26",10G,10G,Regular,lon2,full,
